Offense_Category,Incidents1,Offenses,Victims,"Known
Offenders3"
Assault Offenses,"2,335,159","2,706,772",2706772,"2,485,302"
Homicide Offenses,"15,249","16,537",16537,"16,977"
Human Trafficking Offenses,"1,827","2,141",2141,"1,992"
Kidnapping/Abduction,"33,429","36,919",36919,"36,578"
Sex Offenses,"166,782","177,043",177043,"163,193"
Arson,"26,491","26,491",32192,"18,780"
Bribery,739,739,776,766
Burglary/Breaking & Entering,"584,913","584,913",679055,"366,221"
Counterfeiting/Forgery,"107,047","107,047",117524,"84,402"
Destruction/Damage/Vandalism of Property,"1,283,633","1,283,633",1396060,"789,704"
Embezzlement,"22,610","22,610",23627,"22,880"
Extortion/Blackmail,"12,270","12,270",12674,"6,812"
Fraud Offenses,"761,698","761,698",819614,"375,292"
Larceny/Theft Offenses,"2,967,229","2,967,229",3162752,"1,677,135"
Motor Vehicle Theft,"554,618","554,618",580156,"308,208"
Robbery,"121,103","121,103",159013,"160,276"
Stolen Property Offenses,"89,625","89,625",105867,"105,314"
Animal Cruelty,"16,497","16,497",16498,"14,890"
Drug/Narcotic Offenses,"1,290,858","1,290,858",1290905,"1,568,259"
Gambling Offenses,"1,815","1,815",1815,"2,765"
Pornography/Obscene Material,"31,873","31,873",31876,"26,348"
Prostitution Offenses,"11,565","11,565",11566,"13,184"
Weapon Law Violations,"267,955","267,955",267997,"291,668"
